timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1521438097359,2654,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,2654,0,2292
1521438100016,1015,Overview,200,OK,Thread Group 1-1,text,true,,12465,127,1,1,1015,0,669
1521438101032,1002,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53769,129,1,1,672,0,0
1521438102035,258,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,46,0,4
1521438102295,1358,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1358,0,688
1521438103654,663,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,663,0,0
1521438104318,2018,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53770,129,1,1,1672,0,675
1521438106337,452,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,7,0,4
1521438106790,1000,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1000,0,666
1521438107789,337,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,337,0,0
1521438108127,998,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53769,129,1,1,344,0,0
1521438109126,288,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,11,0,4
1521438109415,1003,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1003,0,667
1521438110419,342,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,341,0,0
1521438110762,1001,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53769,129,1,1,341,0,0
1521438111763,410,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,40,0,3
1521438112173,1005,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1005,0,672
1521438113179,336,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,336,0,0
1521438113516,1002,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53769,129,1,1,345,0,0
1521438114518,57,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,14,0,3
1521438114576,1008,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1008,0,673
1521438115585,336,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,336,0,0
1521438115922,1000,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53769,129,1,1,338,0,0
1521438116922,262,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,7,0,1
1521438117184,1340,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1339,0,670
1521438118525,664,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,664,0,0
1521438119189,2002,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53770,129,1,1,1656,0,663
1521438121192,258,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,33,0,4
1521438121452,1008,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1008,0,669
1521438122460,342,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,342,0,0
1521438122803,1019,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53769,129,1,1,342,0,0
1521438123822,51,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,25,0,2
1521438123874,1015,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1015,0,676
1521438124890,339,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,339,0,0
1521438125230,992,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53769,129,1,1,335,0,0
1521438126223,59,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,9,0,4
1521438126283,1001,HomePage,200,OK,Thread Group 1-1,text,true,,12465,117,1,1,1001,0,665
1521438127284,340,Overview,200,OK,Thread Group 1-1,text,true,,12464,127,1,1,340,0,0
1521438127624,995,ReleaseNotes,200,OK,Thread Group 1-1,text,true,,53769,129,1,1,336,0,0
1521438128620,73,Dummy Sampler,200,OK,Thread Group 1-1,text,true,,114,0,1,1,48,0,2
